location_id,muni_name,party_acronym,political_party_slug,political_party_long_name,seats_available,party_seats,rank
23053,Jódar,PP,pp,PARTIDO POPULAR,17,1,4
23055,Linares,CILU-LINARES,NA,NA,25,3,4
23060,Martos,VOX,NA,NA,21,2,4
23067,Pegalajar,ADELANTE,NA,NA,11,1,4
23074,Rus,IU ANDALUCIA,NA,NA,11,1,4
23086,Torredelcampo,Cs,NA,NA,17,1,4
23088,Torreperogil,ENTRE TODOS - AET,NA,NA,13,1,4
23097,Villanueva del Arzobispo,PP,pp,PARTIDO POPULAR,13,2,4
23050,Jaén,VOX,NA,NA,27,2,5
23053,Jódar,Cs,NA,NA,17,1,5
23055,Linares,LINARES PRIMERO,NA,NA,25,2,5
23060,Martos,ADELANTE,NA,NA,21,1,5
23055,Linares,I.U.,NA,NA,25,2,6
24001,Acebedo,Cs,NA,NA,5,4,1
24002,Algadefe,P.S.O.E.,NA,NA,7,4,1
24003,Alija del Infantado,PP,pp,PARTIDO POPULAR,7,4,1
24004,Almanza,PP,pp,PARTIDO POPULAR,7,7,1
24005,"Antigua, La",PP,pp,PARTIDO POPULAR,7,5,1
24006,Ardón,U.P.L.,NA,NA,7,3,1
24007,Arganza,P.S.O.E.,NA,NA,7,4,1
24008,Astorga,PP,pp,PARTIDO POPULAR,17,7,1
24009,Balboa,PP,pp,PARTIDO POPULAR,7,6,1
24011,Barjas,P.S.O.E.,NA,NA,5,5,1
24012,"Barrios de Luna, Los",PP,pp,PARTIDO POPULAR,7,4,1
24010,"Bañeza, La",PP,pp,PARTIDO POPULAR,17,6,1
24014,Bembibre,P.S.O.E.,NA,NA,13,7,1
24015,Benavides,PP,pp,PARTIDO POPULAR,11,5,1
24016,Benuza,P.S.O.E.,NA,NA,7,4,1
24017,Bercianos del Páramo,PP,pp,PARTIDO POPULAR,7,4,1
24018,Bercianos del Real Camino,PP,pp,PARTIDO POPULAR,5,5,1
24019,Berlanga del Bierzo,P.S.O.E.,NA,NA,7,5,1
24020,Boca de Huérgano,U.P.L.,NA,NA,7,4,1
24022,Borrenes,PP,pp,PARTIDO POPULAR,7,6,1
24021,Boñar,P.S.O.E.,NA,NA,9,4,1
24023,Brazuelo,PP,pp,PARTIDO POPULAR,7,5,1
24024,"Burgo Ranero, El",P.S.O.E.,NA,NA,7,5,1
24025,Burón,PP,pp,PARTIDO POPULAR,7,4,1
24026,Bustillo del Páramo,PP,pp,PARTIDO POPULAR,9,6,1
24027,Cabañas Raras,PP,pp,PARTIDO POPULAR,9,6,1
24028,Cabreros del Río,U.P.L.,NA,NA,7,5,1
24029,Cabrillanes,U.P.L.,NA,NA,7,4,1
24030,Cacabelos,PP,pp,PARTIDO POPULAR,13,5,1
24031,Calzada del Coto,PP,pp,PARTIDO POPULAR,5,4,1
24032,Campazas,PP,pp,PARTIDO POPULAR,5,4,1
24033,Campo de Villavidel,PP,pp,PARTIDO POPULAR,5,4,1
24034,Camponaraya,P.S.O.E.,NA,NA,11,8,1
24036,Candín,PP,pp,PARTIDO POPULAR,7,6,1
24038,Carracedelo,PP,pp,PARTIDO POPULAR,11,6,1
24039,Carrizo,P.S.O.E.,NA,NA,11,7,1
24040,Carrocera,P.S.O.E.,NA,NA,7,5,1
24041,Carucedo,P.S.O.E.,NA,NA,7,5,1
24043,Castrillo de Cabrera,P.S.O.E.,NA,NA,5,5,1
24044,Castrillo de la Valduerna,P.S.O.E.,NA,NA,5,5,1
24046,Castrocalbón,P.S.O.E.,NA,NA,7,6,1
24047,Castrocontrigo,U.P.L.,NA,NA,7,4,1
24049,Castropodame,P.S.O.E.,NA,NA,9,5,1
24050,Castrotierra de Valmadrigal,P.S.O.E.,NA,NA,5,3,1
24051,Cea,PP,pp,PARTIDO POPULAR,7,5,1
24052,Cebanico,P.S.O.E.,NA,NA,5,4,1
24053,Cebrones del Río,PP,pp,PARTIDO POPULAR,7,4,1
24065,Chozas de Abajo,P.S.O.E.,NA,NA,11,8,1
24054,Cimanes de la Vega,PP,pp,PARTIDO POPULAR,7,4,1
24055,Cimanes del Tejar,PP,pp,PARTIDO POPULAR,7,3,1
24056,Cistierna,P.S.O.E.,NA,NA,11,6,1
24057,Congosto,PP,pp,PARTIDO POPULAR,9,5,1
24058,Corbillos de los Oteros,U.P.L.,NA,NA,5,4,1
24059,Corullón,P.S.O.E.,NA,NA,7,6,1
24060,Crémenes,U.P.L.,NA,NA,7,3,1
24061,Cuadros,AIC,aic,AGRUPACION DE ELECTORES INDEPENDIENTE DE CUADROS,11,7,1
24062,Cubillas de los Oteros,U.P.L.,NA,NA,5,4,1
24063,Cubillas de Rueda,PP,pp,PARTIDO POPULAR,7,3,1
24064,Cubillos del Sil,P.S.O.E.,NA,NA,9,6,1
24037,Cármenes,P.S.O.E.,NA,NA,7,4,1
24066,Destriana,PP,pp,PARTIDO POPULAR,7,5,1
24067,Encinedo,PP,pp,PARTIDO POPULAR,7,4,1
24068,"Ercina, La",P.S.O.E.,NA,NA,7,5,1
24070,Fabero,P.S.O.E.,NA,NA,11,7,1
24071,Folgoso de la Ribera,C. Bierzo,NA,NA,9,4,1
24073,Fresno de la Vega,P.S.O.E.,NA,NA,7,4,1
24074,Fuentes de Carbajal,PP,pp,PARTIDO POPULAR,3,2,1
24076,Garrafe de Torío,I.U.,NA,NA,9,3,1
24077,Gordaliza del Pino,P.S.O.E.,NA,NA,5,4,1
24078,Gordoncillo,P.S.O.E.,NA,NA,7,4,1
24079,Gradefes,PP,pp,PARTIDO POPULAR,7,5,1
24080,Grajal de Campos,PP,pp,PARTIDO POPULAR,5,4,1
24081,Gusendos de los Oteros,PP,pp,PARTIDO POPULAR,5,5,1
24082,Hospital de Órbigo,P.S.O.E.,NA,NA,7,7,1
24083,Igüeña,P.S.O.E.,NA,NA,9,7,1
24084,Izagre,P.S.O.E.,NA,NA,5,4,1
24086,Joarilla de las Matas,PP,pp,PARTIDO POPULAR,7,4,1
24087,Laguna Dalga,PP,pp,PARTIDO POPULAR,7,4,1
24088,Laguna de Negrillos,P.S.O.E.,NA,NA,9,4,1
24089,León,P.S.O.E.,NA,NA,27,9,1
24092,Llamas de la Ribera,PP,pp,PARTIDO POPULAR,7,4,1
24090,Lucillo,PP,pp,PARTIDO POPULAR,7,4,1
24091,Luyego,P.S.O.E.,NA,NA,7,4,1
24093,Magaz de Cepeda,U.P.L.,NA,NA,7,5,1
24094,Mansilla de las Mulas,PP,pp,PARTIDO POPULAR,9,4,1
24095,Mansilla Mayor,P.S.O.E.,NA,NA,7,5,1
24096,Maraña,P.S.O.E.,NA,NA,5,4,1
24097,Matadeón de los Oteros,U.P.L.,NA,NA,5,4,1
24098,Matallana de Torío,P.S.O.E.,NA,NA,9,5,1
24099,Matanza,P.S.O.E.,NA,NA,5,4,1
24100,Molinaseca,PP,pp,PARTIDO POPULAR,7,5,1
24101,Murias de Paredes,P.S.O.E.,NA,NA,7,7,1
24102,Noceda del Bierzo,PP,pp,PARTIDO POPULAR,7,4,1
24103,Oencia,PP,pp,PARTIDO POPULAR,7,6,1
24104,"Omañas, Las",P.S.O.E.,NA,NA,7,5,1
24105,Onzonilla,PP,pp,PARTIDO POPULAR,9,5,1
24106,Oseja de Sajambre,PP,pp,PARTIDO POPULAR,5,4,1
24107,Pajares de los Oteros,AEPS,NA,NA,7,6,1
24108,Palacios de la Valduerna,PP,pp,PARTIDO POPULAR,7,5,1
24109,Palacios del Sil,PP,pp,PARTIDO POPULAR,7,4,1
24112,Peranzanes,P.S.O.E.,NA,NA,7,6,1
24113,Pobladura de Pelayo García,AGRUPACION INDEPENDIENTE POBLADURA DE PELAYO GARCIA,NA,NA,7,7,1
24114,"Pola de Gordón, La",P.S.O.E.,NA,NA,11,5,1
24115,Ponferrada,P.S.O.E.,NA,NA,25,9,1
24116,Posada de Valdeón,PP,pp,PARTIDO POPULAR,7,4,1
24117,Pozuelo del Páramo,PP,pp,PARTIDO POPULAR,7,4,1
24118,Prado de la Guzpeña,PP,pp,PARTIDO POPULAR,5,4,1
24119,Priaranza del Bierzo,PP,pp,PARTIDO POPULAR,7,3,1
24120,Prioro,PP,pp,PARTIDO POPULAR,7,4,1
24121,Puebla de Lillo,AIPL,NA,NA,7,4,1
24122,Puente de Domingo Flórez,PP,pp,PARTIDO POPULAR,9,6,1
24110,Páramo del Sil,PP,pp,PARTIDO POPULAR,9,6,1
24123,Quintana del Castillo,P.S.O.E.,NA,NA,7,4,1
24124,Quintana del Marco,PP,pp,PARTIDO POPULAR,7,4,1
24125,Quintana y Congosto,PP,pp,PARTIDO POPULAR,7,4,1
24127,Regueras de Arriba,PP,pp,PARTIDO POPULAR,7,5,1
24129,Reyero,P.S.O.E.,NA,NA,5,4,1
24130,Riaño,Cs,NA,NA,7,3,1
24131,Riego de la Vega,U.P.L.,NA,NA,7,4,1
24132,Riello,PP,pp,PARTIDO POPULAR,7,4,1
24133,Rioseco de Tapia,PP,pp,PARTIDO POPULAR,7,5,1
24134,"Robla, La",P.S.O.E.,NA,NA,11,8,1
24136,Roperuelos del Páramo,PP,pp,PARTIDO POPULAR,7,4,1
24137,Sabero,PP,pp,PARTIDO POPULAR,9,6,1
24139,Sahagún,PP,pp,PARTIDO POPULAR,11,5,1
